 ,Area,Mean,Min,Max
828,381.213,255,255,255
829,934.347,255,255,255
830,949.296,255,255,255
831,695.154,255,255,255
832,1001.620,255,255,255
833,553.133,255,255,255
834,381.213,255,255,255
835,605.457,255,255,255
836,575.558,255,255,255
837,530.709,255,255,255
838,261.617,255,255,255
839,1330.510,255,255,255
840,441.012,255,255,255
841,455.961,255,255,255
842,657.780,255,255,255
843,515.759,255,255,255
844,538.184,255,255,255
845,485.860,255,255,255
846,373.739,255,255,255
847,882.023,255,255,255
848,538.184,255,255,255
849,284.041,255,255,255
850,568.083,255,255,255
851,411.113,255,255,255
852,822.225,255,255,255
853,381.213,255,255,255
854,508.285,255,255,255
855,261.617,255,255,255
856,538.184,255,255,255
857,1091.317,255,255,255
858,381.213,255,255,255
859,67.273,255,255,255
860,545.659,255,255,255
861,470.911,255,255,255
862,1846.269,255,255,255
863,762.427,255,255,255
864,500.810,255,255,255
865,448.486,255,255,255
866,882.023,255,255,255
867,777.377,255,255,255
868,246.668,255,255,255
869,889.498,255,255,255
870,926.872,255,255,255
871,657.780,255,255,255
872,515.759,255,255,255
873,493.335,255,255,255
874,441.012,255,255,255
875,246.668,255,255,255
876,642.831,255,255,255
877,441.012,255,255,255
878,754.952,255,255,255
879,433.537,255,255,255
880,1143.640,255,255,255
881,553.133,255,255,255
882,239.193,255,255,255
883,665.255,255,255,255
884,605.457,255,255,255
885,358.789,255,255,255
886,1009.095,255,255,255
887,874.549,255,255,255
888,343.840,255,255,255
889,194.344,255,255,255
890,269.092,255,255,255
891,2227.483,255,255,255
892,373.739,255,255,255
893,194.344,255,255,255
894,680.204,255,255,255
895,336.365,255,255,255
896,366.264,255,255,255
897,306.466,255,255,255
898,627.881,255,255,255
899,403.638,255,255,255
900,396.163,255,255,255
901,269.092,255,255,255
902,575.558,255,255,255
903,680.204,255,255,255
904,1068.893,255,255,255
905,485.860,255,255,255
906,411.113,255,255,255
907,530.709,255,255,255
908,463.436,255,255,255
909,381.213,255,255,255
910,672.730,255,255,255
911,530.709,255,255,255
912,545.659,255,255,255
913,642.831,255,255,255
914,373.739,255,255,255
915,485.860,255,255,255
916,284.041,255,255,255
917,523.234,255,255,255
918,807.276,255,255,255
919,433.537,255,255,255
920,89.697,255,255,255
921,934.347,255,255,255
922,433.537,255,255,255
923,485.860,255,255,255
924,695.154,255,255,255
925,313.941,255,255,255
926,493.335,255,255,255
927,470.911,255,255,255
928,732.528,255,255,255
929,560.608,255,255,255
930,298.991,255,255,255
931,366.264,255,255,255
932,269.092,255,255,255
933,949.296,255,255,255
934,403.638,255,255,255
935,269.092,255,255,255
936,650.305,255,255,255
937,493.335,255,255,255
938,366.264,255,255,255
939,381.213,255,255,255
940,650.305,255,255,255
941,463.436,255,255,255
942,373.739,255,255,255
943,67.273,255,255,255
944,583.032,255,255,255
945,89.697,255,255,255
946,470.911,255,255,255
947,538.184,255,255,255
948,67.273,255,255,255
949,889.498,255,255,255
950,321.415,255,255,255
951,642.831,255,255,255
952,530.709,255,255,255
953,538.184,255,255,255
954,500.810,255,255,255
955,1263.237,255,255,255
956,583.032,255,255,255
957,545.659,255,255,255
958,508.285,255,255,255
959,710.104,255,255,255
960,239.193,255,255,255
961,642.831,255,255,255
962,575.558,255,255,255
963,426.062,255,255,255
964,254.142,255,255,255
965,1218.388,255,255,255
966,665.255,255,255,255
967,239.193,255,255,255
968,418.587,255,255,255
969,67.273,255,255,255
970,478.386,255,255,255
971,2055.563,255,255,255
972,455.961,255,255,255
973,246.668,255,255,255
974,1061.418,255,255,255
975,470.911,255,255,255
976,515.759,255,255,255
977,463.436,255,255,255
978,545.659,255,255,255
979,530.709,255,255,255
980,740.003,255,255,255
981,627.881,255,255,255
982,650.305,255,255,255
983,508.285,255,255,255
984,201.819,255,255,255
